surah,verse,n_tags,tags,brief_note
17,46,2,body-part;iltifat,body-part=body-parts.md | iltifat=intra-strict:two_verbs; inter:2->3
17,47,2,iltifat;quotation,iltifat=intra-strict:two_verbs | quotation=yaqulu speaker=Disbelievers
17,48,7,iltifat;imperative;imperative-topic;mutashabih-lafzi;parable;rhetorical-question;rhyme-break,"iltifat=intra-strict:two_verbs | imperative=n~aZara | imperative-topic=imperative-mood.md | mutashabih-lafzi=pair with 25:9 (truly_identical, r=1.0) | parable=C:comparisons strayed→ [amthāl]"
17,49,8,body-part;iltifat;mutashabih-lafzi;phonaesthetic;quotation;quotation-topic;rhetorical-question;rhyme-break,"body-part=body-parts.md | iltifat=intra-strict:two_verbs; inter:3->1 | mutashabih-lafzi=pair with 23:82 (suffix_pronoun_change;lexeme_substitution, r=0.8235) | phonaesthetic=phonaesthetics.md | quotation=qalu speaker=Disbelievers"
17,50,6,hadid-finding;iltifat;imperative;metal-mineral;qul-say-opener;quotation,hadid-finding=hadid-deep-dive.md | iltifat=inter:1->2 | imperative=qaAla | metal-mineral=metals-minerals.md | qul-say-opener=word-pos=1
17,51,8,hapax;iltifat;imperative;jinas;qul-say-opener;quotation;rhetorical-question;rhyme-break,"hapax=root-hapax:ngD (lemma=yunogiDu, root=ngD) | iltifat=intra-strict:two_verbs; inter:2->3 | imperative=qaAla | jinas=jinas-wordplay.md | qul-say-opener=word-pos=10"
17,52,1,iltifat,iltifat=intra-strict:two_verbs; inter:3->2
17,53,5,iblis;iltifat;imperative;qul-say-opener;quotation,iblis=iblis-satan.md | iltifat=intra-strict:two_verbs; inter:2->3 | imperative=qaAla | qul-say-opener=word-pos=1 | quotation=qul speaker=GOD->Muhammad (Qul)
17,54,1,iltifat,iltifat=intra-strict:two_verbs
17,55,2,iltifat;scripture-ref,iltifat=inter:3->1 | scripture-ref=scripture-refs.md
17,56,6,hapax;iltifat;imperative;qul-say-opener;quotation;shirk,"hapax=lemma-hapax:ka$of (lemma=ka$of, root=k$f) | iltifat=intra-strict:two_verbs; inter:1->2 | imperative=qaAla | qul-say-opener=word-pos=1 | quotation=qul speaker=GOD->Muhammad (Qul)"
17,57,4,hapax;iltifat;phonaesthetic;rhetorical-question,"hapax=lemma-hapax:maHo*uwr (lemma=maHo*uwr, root=H*r) | iltifat=inter:2->3 | phonaesthetic=phonaesthetics.md | rhetorical-question=other-question markers=>aY~"
17,58,1,iltifat,iltifat=intra-strict:verb_plus_indep_pron
17,59,3,animal;hapax;iltifat,"animal=quran-bestiary.md | hapax=lemma-hapax:taxowiyf (lemma=taxowiyf, root=xwf) | iltifat=intra-strict:two_verbs"
17,60,4,hapax;iltifat;plant;quotation,"hapax=lemma-hapax:maloEuwnap (lemma=maloEuwnap, root=lEn) | iltifat=intra-strict:two_verbs; inter:3->1 | plant=plants-quran.md | quotation=qulna speaker=GOD (We said)"
17,61,10,angel;iblis;iltifat;imperative;jinas;jinn;quotation;quotation-topic;rhetorical-question;rhyme-break,angel=angels-catalog.md | iblis=iblis-satan.md | iltifat=intra-strict:two_verbs; inter:1->2 | imperative=sajada | jinas=jinas-wordplay.md
17,62,10,hapax;iblis;iltifat;intra-xref;jinn;kinship;quotation;quotation-topic;rhetorical-question;rhyme-break,"hapax=root-hapax:Hnk (lemma=>aHotanika, root=Hnk) | iblis=iblis-satan.md | iltifat=intra-strict:two_verbs | intra-xref=intra-quranic-cross-references.md | jinn=jinn-theology.md"
17,63,5,hapax;iblis;iltifat;imperative;quotation,"hapax=root-hapax:wfr (lemma=m~awofuwr, root=wfr) | iblis=iblis-satan.md | iltifat=intra-strict:two_verbs; inter:2->3 | imperative=*ahaba | quotation=qala speaker=Adam"
17,64,6,animal;covenant;hapax;iltifat;imperative;shirk,"animal=quran-bestiary.md | covenant=covenant-language.md | hapax=lemma-hapax:$aAriko (lemma=$aAriko, root=$rk) | iltifat=intra-strict:two_verbs; inter:3->2 | imperative=yasotafiz~a"
17,65,3,cosmology-audit;iblis;iltifat,cosmology-audit=cosmology-audit.md | iblis=iblis-satan.md | iltifat=intra-strict:verb_plus_indep_pron; inter:2->3
17,66,1,iltifat,iltifat=intra-strict:two_verbs; inter:3->2
17,67,1,iltifat,iltifat=intra-strict:two_verbs; inter:2->3
17,68,4,iltifat;prohibitive;rhetorical-question;rhyme-break,iltifat=intra-strict:two_verbs; inter:3->2 | prohibitive | rhetorical-question=rhetorical-affirmation (taqrīrī) markers=a- | rhyme-break=rhetorical-Q at rhyme-break
17,69,3,hapax;iltifat;prohibitive,"hapax=root-hapax:qSf (lemma=qaASif, root=qSf) | iltifat=intra-strict:two_verbs | prohibitive"
17,70,2,iltifat;kinship,iltifat=inter:2->1 | kinship=kinship-vocabulary.md
17,71,1,iltifat,iltifat=intra-strict:two_verbs; inter:1->3
17,72,1,parable-topic,parable-topic=parables-catalog.md
17,73,1,iltifat,iltifat=intra-strict:two_verbs
17,74,1,iltifat,iltifat=intra-strict:two_verbs; inter:3->2
17,75,1,iltifat,iltifat=intra-strict:two_verbs
17,76,1,iltifat,iltifat=inter:2->3
17,77,1,iltifat,iltifat=intra-strict:two_verbs; inter:3->1
17,78,6,hapax;iltifat;imperative;muqattaat;salah;time-vocab,"hapax=root-hapax:dlk (lemma=duluwk, root=dlk) | iltifat=intra-strict:two_verbs; inter:1->2 | imperative=>aqaAma | muqattaat=muqattaat-analysis.md | salah=salah-theology.md"
17,79,5,hapax;iltifat;imperative;intra-xref;time-vocab,"hapax=root-hapax:hjd (lemma=tahaj~ado, root=hjd) | iltifat=intra-strict:two_verbs | imperative=tahaj~ado | intra-xref=intra-quranic-cross-references.md | time-vocab=time-vocabulary.md"
17,80,4,iltifat;imperative;qul-say-opener;quotation,iltifat=intra-strict:verb_plus_indep_pron | imperative=qaAla | qul-say-opener=word-pos=1 | quotation=qul speaker=GOD->Muhammad (Qul)
17,81,7,hapax;iltifat;imperative;phonaesthetic;qul-say-opener;quotation;self-reference,"hapax=lemma-hapax:zahuwq (lemma=zahuwq, root=zhq) | iltifat=intra-strict:two_verbs; inter:2->3 | imperative=qaAla | phonaesthetic=phonaesthetics.md | qul-say-opener=word-pos=1"
17,82,3,iltifat;intra-xref;self-reference,iltifat=intra-strict:two_verbs | intra-xref=intra-quranic-cross-references.md | self-reference=quranic-self-reference.md
17,83,2,iltifat;mutashabih-lafzi,"iltifat=intra-strict:two_verbs | mutashabih-lafzi=pair with 41:51 (particle_change;lexeme_substitution, r=0.8261)"
17,84,5,hapax;iltifat;imperative;qul-say-opener;quotation,"hapax=lemma-hapax:$aAkilat (lemma=$aAkilat, root=$kl) | iltifat=intra-strict:two_verbs | imperative=qaAla | qul-say-opener=word-pos=1 | quotation=qul speaker=GOD->Muhammad (Qul)"
17,85,8,angel;asbab-nuzul;iltifat;imperative;muhkam-mutashabih;nafs-theology;qul-say-opener;quotation,angel=angels-catalog.md | asbab-nuzul=asbab-nuzul.md | iltifat=intra-strict:two_verbs; inter:3->2 | imperative=qaAla | muhkam-mutashabih=muhkam-mutashabih.md
17,86,2,iltifat;phonaesthetic,iltifat=intra-strict:two_verbs; inter:2->1 | phonaesthetic=phonaesthetics.md
17,87,1,iltifat,iltifat=inter:1->3
17,88,7,iltifat;imperative;imperative-topic;parable;qul-say-opener;quotation;self-reference,iltifat=intra-strict:two_verbs | imperative=qaAla | imperative-topic=imperative-mood.md | parable=E:inimitability→ [mithl hādhā l-Qurʾān] | qul-say-opener=word-pos=1
17,89,4,iltifat;parable;parable-topic;self-reference,iltifat=intra-strict:two_verbs; inter:3->1 | parable=C:every kind of parable→ [min kulli mathal] | parable-topic=parables-catalog.md | self-reference=quranic-self-reference.md
17,90,3,iltifat;quotation;water,iltifat=intra-strict:two_verbs; inter:1->2 | quotation=qalu speaker=UNCLASSIFIED | water=water-vocabulary.md
17,91,1,plant,plant=plants-quran.md
17,92,1,divine-names,divine-names=1 name(s): Allah
17,93,7,hapax;iltifat;imperative;qul-say-opener;quotation;rhetorical-question;rhyme-break,"hapax=lemma-hapax:ruqiy~ (lemma=ruqiy~, root=rqy) | iltifat=intra-strict:two_verbs; inter:2->1 | imperative=qaAla | qul-say-opener=word-pos=19 | quotation=qul speaker=GOD->Muhammad (Qul)"
17,94,5,divine-names;iltifat;quotation;rhetorical-question;rhyme-break,divine-names=1 name(s): Allah | iltifat=inter:1->3 | quotation=qalu speaker=UNCLASSIFIED | rhetorical-question=other-question markers=a- | rhyme-break=rhetorical-Q at rhyme-break
17,95,6,angel;iltifat;imperative;nafs-theology;qul-say-opener;quotation,angel=angels-catalog.md | iltifat=intra-strict:two_verbs | imperative=qaAla | nafs-theology=nafs-theology.md | qul-say-opener=word-pos=1
17,96,5,divine-names;iltifat;imperative;qul-say-opener;quotation,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs | imperative=qaAla | qul-say-opener=word-pos=1 | quotation=qul speaker=GOD->Muhammad (Qul)
17,97,5,divine-names;hapax;iltifat;numerical-coincidence;sensory,"divine-names=1 name(s): Allah | hapax=root-hapax:xbw (lemma=xabato, root=xbw) | iltifat=intra-strict:two_verbs | numerical-coincidence=numerical-coincidences.md | sensory=sensory-vocabulary.md"
17,98,4,iltifat;quotation;rhetorical-question;rhyme-break,iltifat=intra-strict:two_verbs | quotation=qalu speaker=UNCLASSIFIED | rhetorical-question=other-question markers=a- | rhyme-break=rhetorical-Q at rhyme-break
17,99,3,divine-names;parable;rhetorical-question,divine-names=1 name(s): Allah | parable=E:create like them→ [mithlahum] | rhetorical-question=rhetorical-negation (inkārī) markers=a-
17,100,6,emotion;hapax;iltifat;imperative;qul-say-opener;quotation,"emotion=emotion-vocabulary.md | hapax=lemma-hapax:<infaAq (lemma=<infaAq, root=nfq) | iltifat=intra-strict:two_verbs; inter:3->2 | imperative=qaAla | qul-say-opener=word-pos=1"
17,101,7,famous-number;iltifat;imperative;numerical-coincidence;quotation;vocative;vocative-topic,famous-number=numbers-spelled.md | iltifat=intra-strict:two_verbs; inter:2->1 | imperative=sa>ala | numerical-coincidence=numerical-coincidences.md | quotation=qala speaker=Moses
17,102,5,hapax;iltifat;quotation;vocative;vocative-topic,"hapax=lemma-hapax:mavobuwr (lemma=mavobuwr, root=vbr) | iltifat=intra-strict:two_verbs; inter:1->2 | quotation=qala speaker=Moses | vocative=O_Pharaoh | vocative-topic=vocative-addresses.md"
17,103,1,iltifat,iltifat=intra-strict:two_verbs; inter:2->3
17,104,4,hapax;iltifat;imperative;quotation,"hapax=lemma-hapax:lafiyf (lemma=lafiyf, root=lff) | iltifat=intra-strict:two_verbs; inter:3->1 | imperative=sakana | quotation=qulna speaker=GOD (We said)"
17,105,1,iltifat,iltifat=intra-strict:two_verbs
17,106,4,hadid-finding;hapax;iltifat;self-reference,"hadid-finding=hadid-deep-dive.md | hapax=lemma-hapax:mukov (lemma=mukov, root=mkv) | iltifat=intra-strict:two_verbs | self-reference=quranic-self-reference.md"
17,107,5,iltifat;imperative;prohibitive;qul-say-opener;quotation,iltifat=intra-strict:two_verbs; inter:1->3 | imperative=qaAla | prohibitive | qul-say-opener=word-pos=1 | quotation=qul speaker=GOD->Muhammad (Qul)
17,108,1,quotation,quotation=yaquluna speaker=UNCLASSIFIED
17,109,1,hapax,"hapax=lemma-hapax:xu$uwE (lemma=xu$uwE, root=x$E)"
17,110,9,divine-names;divine-names-topic;hapax;hashr-khawatim;iltifat;imperative;jinas;qul-say-opener;quotation,"divine-names=2 name(s): al-Rahman|Allah | divine-names-topic=divine-names-distribution.md | hapax=lemma-hapax:tuxaAfito (lemma=tuxaAfito, root=xft) | hashr-khawatim=khawatim-al-hashr-analysis.md | iltifat=intra-strict:verb_plus_indep_pron; inter:3->2"
17,111,7,divine-names;hapax;iltifat;imperative;kinship;qul-say-opener;quotation,"divine-names=1 name(s): Allah | hapax=lemma-hapax:takobiyr (lemma=takobiyr, root=kbr) | iltifat=intra-strict:two_verbs; inter:2->3 | imperative=qaAla | kinship=kinship-vocabulary.md"
18,1,2,divine-names;kahf-structural,divine-names=1 name(s): Allah | kahf-structural=Al-Kahf pivot verse
18,2,2,graph-theory;verse-length-outlier,graph-theory=graph-theory-roots.md | verse-length-outlier=verse-length-sequences.md
18,3,1,chrono-critical,chrono-critical=chronological-revelation.md
18,4,4,divine-names;ilm-al-harf;kinship;quotation,divine-names=1 name(s): Allah | ilm-al-harf=ilm-al-harf-tests.md | kinship=kinship-vocabulary.md | quotation=qalu speaker=UNCLASSIFIED
18,5,5,chrono-critical;convergence;moses-finding;quotation;scholar-commentary,chrono-critical=chronological-revelation.md | convergence=convergence-analysis.md | moses-finding=moses-deep-dive.md | quotation=yaquluna speaker=UNCLASSIFIED | scholar-commentary=scholar-commentary.md
18,6,3,innama-topic;prophet-pericope;self-reference,innama-topic=innama-formula.md | prophet-pericope=prophet-pericope-comparison.md | self-reference=quranic-self-reference.md
18,7,2,iltifat;rhetorical-question,iltifat=intra-strict:verb_plus_indep_pron; inter:3->1 | rhetorical-question=other-question markers=>aY~
18,8,2,graph-theory;surah-ending,graph-theory=graph-theory-roots.md | surah-ending=surah-endings.md
18,9,7,hapax;iltifat;intra-xref;jinn;kahf-finding;kahf-structural;sacred-geo,"hapax=lemma-hapax:r~aqiym (lemma=r~aqiym, root=rqm) | iltifat=intra-strict:two_verbs; inter:1->2 | intra-xref=intra-quranic-cross-references.md | jinn=jinn-theology.md | kahf-finding=al-kahf-deep-dive.md"
18,10,6,iltifat;imperative;kahf-structural;phonaesthetic;quotation;sacred-geo,iltifat=intra-strict:two_verbs | imperative=A^taY | kahf-structural=Al-Kahf pivot verse | phonaesthetic=phonaesthetics.md | quotation=qalu speaker=UNCLASSIFIED
18,11,3,body-part;iltifat;sacred-geo,body-part=body-parts.md | iltifat=inter:2->1 | sacred-geo=sacred-geography.md
18,12,4,dual-form;hapax;iltifat;rhetorical-question,"dual-form=Hizob | hapax=lemma-hapax:>aHoSaY`2 (lemma=>aHoSaY`2, root=HSy) | iltifat=intra-strict:two_verbs | rhetorical-question=other-question markers=>aY~"
18,13,2,iltifat;phonaesthetic,iltifat=intra-strict:two_verbs; inter:1->3 | phonaesthetic=phonaesthetics.md
18,14,2,iltifat;quotation,iltifat=intra-strict:two_verbs; inter:3->1 | quotation=qalu speaker=UNCLASSIFIED
18,15,4,divine-names;hapax;iltifat;phonaesthetic,"divine-names=1 name(s): Allah | hapax=lemma-hapax:bay~in (lemma=bay~in, root=byn) | iltifat=inter:1->3 | phonaesthetic=phonaesthetics.md"
18,16,5,divine-names;hapax;iltifat;imperative;sacred-geo,"divine-names=1 name(s): Allah | hapax=lemma-hapax:m~irofaq (lemma=m~irofaq, root=rfq) | iltifat=intra-strict:two_verbs; inter:3->2 | imperative=>awaY | sacred-geo=sacred-geography.md"
18,17,5,divine-names;hapax;iltifat;kahf-structural;sacred-geo,"divine-names=1 name(s): Allah | hapax=root-hapax:fjw (lemma=fajowap, root=fjw) | iltifat=intra-strict:two_verbs; inter:2->3 | kahf-structural=Al-Kahf pivot verse | sacred-geo=sacred-geography.md"
18,18,5,animal;dual-form;hapax;iltifat;qalb-theology,"animal=quran-bestiary.md | dual-form=*iraAE | hapax=root-hapax:yqZ (lemma=>ayoqaAZ, root=yqZ) | iltifat=intra-strict:two_verbs; inter:3->2 | qalb-theology=qalb-theology.md"
18,19,7,hapax;iltifat;imperative;jinas;quotation;quotation-topic;rhetorical-question,"hapax=lemma-hapax:wariq (lemma=wariq, root=wrq) | iltifat=intra-strict:two_verbs; inter:2->3 | imperative=baEava | jinas=jinas-wordplay.md | quotation=qala speaker=UNCLASSIFIED"
18,20,1,iltifat,iltifat=intra-strict:two_verbs
18,21,6,divine-names;hapax;iltifat;imperative;quotation;sacrifice-vow,"divine-names=1 name(s): Allah | hapax=lemma-hapax:>aEovaro (lemma=>aEovaro, root=Evr) | iltifat=intra-strict:two_verbs | imperative=banaY` | quotation=qalu speaker=UNCLASSIFIED"
18,22,12,angel;animal;famous-number;hapax;iltifat;imperative;jinas;kahf-structural;numerical-coincidence;prohibitive;qul-say-opener;quotation,"angel=angels-catalog.md | animal=quran-bestiary.md | famous-number=numbers-spelled.md | hapax=lemma-hapax:miraA^' (lemma=miraA^', root=mry) | iltifat=intra-strict:two_verbs"
18,23,3,iltifat;prohibitive;quotation,iltifat=inter:3->2 | prohibitive | quotation=other speaker=UNCLASSIFIED
18,24,6,divine-names;elative;iltifat;imperative;qul-say-opener;quotation,divine-names=1 name(s): Allah | elative=elative-forms.md | iltifat=intra-strict:two_verbs | imperative=*akara | qul-say-opener=word-pos=9
18,25,8,deep-hypothesis;famous-number;historical-details;iltifat;kahf-finding;kahf-structural;numerical-coincidence;sacred-geo,deep-hypothesis=deep-hypotheses-queue.md | famous-number=numbers-spelled.md | historical-details=historical-details.md | iltifat=inter:2->3 | kahf-finding=al-kahf-deep-dive.md
18,26,6,divine-names;iltifat;imperative;kahf-finding;qul-say-opener;quotation,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs | imperative=qaAla | kahf-finding=al-kahf-deep-dive.md | qul-say-opener=word-pos=1
18,27,2,iltifat;imperative,iltifat=intra-strict:two_verbs; inter:3->2 | imperative=talaY`
18,28,10,body-part;dual-form;dual-form-topic;hapax;iltifat;imperative;kahf-structural;nafs-theology;prohibitive;qalb-theology,"body-part=body-parts.md | dual-form=Eayon | dual-form-topic=dual-form-mapping.md | hapax=lemma-hapax:>agofalo (lemma=>agofalo, root=gfl) | iltifat=intra-strict:two_verbs; inter:2->3"
18,29,6,hapax;iltifat;imperative;phonaesthetic;qul-say-opener;quotation,"hapax=root-hapax:srdq (lemma=suraAdiq, root=srdq) | iltifat=intra-strict:two_verbs | imperative=qaAla | phonaesthetic=phonaesthetics.md | qul-say-opener=word-pos=1"
18,30,1,iltifat,iltifat=intra-strict:two_verbs
18,31,5,color;loan-word;metal-mineral;paradise-hell;phonaesthetic,color=colors-in-quran.md | loan-word=foreign-loan-words.md | metal-mineral=metals-minerals.md | paradise-hell=paradise-hell-names.md | phonaesthetic=phonaesthetics.md
18,32,12,body-part;dual-form;dual-form-topic;hapax;iltifat;imperative;jinn;kahf-structural;parable;parable-topic;plant;quotation-topic,"body-part=body-parts.md | dual-form=rajul | dual-form-topic=dual-form-mapping.md | hapax=lemma-hapax:Hafafo (lemma=Hafafo, root=Hff) | iltifat=intra-strict:two_verbs; inter:3->1"
18,33,4,dual-form;dual-form-topic;hapax;iltifat,"dual-form=kilotaA | dual-form-topic=dual-form-mapping.md | hapax=lemma-hapax:kilotaA (lemma=kilotaA, root=klw) | iltifat=intra-strict:two_verbs; inter:1->3"
18,34,3,elative;iltifat;quotation,elative=elative-forms.md | iltifat=intra-strict:verb_plus_indep_pron | quotation=qala speaker=UNCLASSIFIED
18,35,3,hapax;iltifat;quotation,"hapax=root-hapax:byd (lemma=tabiyda, root=byd) | iltifat=intra-strict:two_verbs | quotation=qala speaker=UNCLASSIFIED"
18,36,3,chrono-critical;iltifat;phonaesthetic,chrono-critical=chronological-revelation.md | iltifat=inter:3->1 | phonaesthetic=phonaesthetics.md
18,37,5,embryology-audit;iltifat;phonaesthetic;quotation;rhetorical-question,embryology-audit=embryology-audit.md | iltifat=intra-strict:two_verbs; inter:1->3 | phonaesthetic=phonaesthetics.md | quotation=qala speaker=UNCLASSIFIED | rhetorical-question=other-question markers=a-
18,38,2,divine-names;iltifat,divine-names=1 name(s): Allah | iltifat=intra-strict:verb_plus_indep_pron; inter:3->1
18,39,4,divine-names;iltifat;kinship;quotation,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs; inter:1->2 | kinship=kinship-vocabulary.md | quotation=other speaker=UNCLASSIFIED
18,40,3,hapax;ilm-al-harf;iltifat,"hapax=lemma-hapax:zalaq (lemma=zalaq, root=zlq) | ilm-al-harf=ilm-al-harf-tests.md | iltifat=inter:2->3"
18,41,3,hapax;iltifat;paired-opposite,"hapax=lemma-hapax:Talab (lemma=Talab, root=Tlb) | iltifat=intra-strict:two_verbs | paired-opposite=paired-opposites-network.md"
18,42,5,dual-form;iltifat;qalb-theology;quotation;vocative,dual-form=kaf~ay | iltifat=intra-strict:two_verbs | qalb-theology=qalb-theology.md | quotation=yaqulu speaker=UNCLASSIFIED | vocative=O_would_that_LAMENT
18,43,1,divine-names,divine-names=1 name(s): Allah
18,44,2,divine-names;hapax,"divine-names=2 name(s): al-Haqq|Allah | hapax=lemma-hapax:Euqob (lemma=Euqob, root=Eqb)"
18,45,7,divine-names;hapax;iltifat;imperative;kahf-structural;parable;parable-topic,"divine-names=1 name(s): Allah | hapax=lemma-hapax:ta*oruw (lemma=ta*oruw, root=*rw) | iltifat=intra-strict:two_verbs | imperative=Daraba | kahf-structural=Al-Kahf pivot verse"
18,46,1,iltifat,iltifat=inter:3->2
18,47,2,hapax;iltifat,"hapax=lemma-hapax:baArizap (lemma=baArizap, root=brz) | iltifat=intra-strict:two_verbs; inter:2->1"
18,48,2,iltifat;yawm,iltifat=intra-strict:two_verbs; inter:1->2 | yawm=yawm-catalog.md
18,49,6,chrono-critical;hapax;iltifat;quotation;rhetorical-question;vocative,"chrono-critical=chronological-revelation.md | hapax=lemma-hapax:HaADir (lemma=HaADir, root=HDr) | iltifat=intra-strict:two_verbs; inter:2->3 | quotation=yaquluna speaker=UNCLASSIFIED | rhetorical-question=other-question markers=maA"
18,50,11,angel;hapax;iblis;iltifat;imperative;jinn;kahf-finding;kahf-structural;quotation;quotation-topic;rhetorical-question,"angel=angels-catalog.md | hapax=lemma-hapax:badal (lemma=badal, root=bdl) | iblis=iblis-satan.md | iltifat=intra-strict:two_verbs | imperative=sajada"
18,51,1,iltifat,iltifat=inter:3->1
18,52,4,hapax;iltifat;imperative;quotation,"hapax=lemma-hapax:m~awobiq (lemma=m~awobiq, root=wbq) | iltifat=intra-strict:two_verbs; inter:1->3 | imperative=naAdaY` | quotation=yaqulu speaker=UNCLASSIFIED"
18,53,1,hapax,"hapax=lemma-hapax:maSorif (lemma=maSorif, root=Srf)"
18,54,4,iltifat;parable;phonaesthetic;self-reference,iltifat=intra-strict:two_verbs; inter:3->1 | parable=C:every kind of parable→ [min kulli mathal] | phonaesthetic=phonaesthetics.md | self-reference=quranic-self-reference.md
18,55,1,iltifat,iltifat=inter:1->3
18,56,1,iltifat,iltifat=intra-strict:two_verbs
18,57,3,body-part;dual-form;iltifat,body-part=body-parts.md | dual-form=yad | iltifat=intra-strict:two_verbs
18,58,4,covenant;divine-names;hapax;yawm,"covenant=covenant-language.md | divine-names=1 name(s): al-Ghafur | hapax=root-hapax:wAl (lemma=mawo}il, root=wAl) | yawm=yawm-catalog.md"
18,59,1,iltifat,iltifat=intra-strict:two_verbs; inter:3->1
18,60,11,dual-form;dual-form-topic;hapax;iltifat;kahf-finding;kahf-structural;moses-finding;phonaesthetic;prophet-micro-ring;quotation;sacred-geo,"dual-form=baHor | dual-form-topic=dual-form-mapping.md | hapax=lemma-hapax:Huqub (lemma=Huqub, root=Hqb) | iltifat=intra-strict:two_verbs | kahf-finding=al-kahf-deep-dive.md"
18,61,4,animal;dual-form;hapax;iltifat,"animal=quran-bestiary.md | dual-form=balaga | hapax=lemma-hapax:sarab (lemma=sarab, root=srb) | iltifat=inter:1->3"
18,62,5,dual-form;hapax;iltifat;imperative;quotation,"dual-form=jaAwaza | hapax=lemma-hapax:gadaA^' (lemma=gadaA^', root=gdw) | iltifat=intra-strict:two_verbs; inter:3->1 | imperative=A^taY | quotation=qala speaker=Moses"
18,63,4,animal;iltifat;quotation;rhetorical-question,animal=quran-bestiary.md | iltifat=intra-strict:two_verbs | quotation=qala speaker=Iblis/Satan | rhetorical-question=other-question markers=a-
18,64,3,dual-form;iltifat;quotation,dual-form={rotad~a | iltifat=intra-strict:two_verbs; inter:1->3 | quotation=qala speaker=Moses
18,65,3,dual-form;iltifat;kahf-structural,dual-form=wajada | iltifat=intra-strict:two_verbs; inter:3->1 | kahf-structural=Al-Kahf pivot verse
18,66,4,iltifat;moses-finding;quotation;rhetorical-question,iltifat=intra-strict:two_verbs; inter:1->2 | moses-finding=moses-deep-dive.md | quotation=qala speaker=Moses | rhetorical-question=other-question markers=hal
18,67,3,iltifat;phonaesthetic;quotation,iltifat=intra-strict:two_verbs | phonaesthetic=phonaesthetics.md | quotation=qala speaker=Moses
18,68,2,iltifat;rhetorical-question,iltifat=intra-strict:verb_plus_indep_pron | rhetorical-question=kayfa-reproach-or-wonder markers=kayof
18,69,3,divine-names;iltifat;quotation,divine-names=1 name(s): Allah | iltifat=intra-strict:two_verbs; inter:2->3 | quotation=qala speaker=Moses
18,70,2,iltifat;quotation,iltifat=intra-strict:two_verbs; inter:3->2 | quotation=qala speaker=Moses
18,71,6,dual-form;hapax;iltifat;quotation;quotation-topic;rhetorical-question,"dual-form={nTalaqa | hapax=lemma-hapax:<imor (lemma=<imor, root=Amr) | iltifat=intra-strict:two_verbs; inter:2->3 | quotation=qala speaker=Moses | quotation-topic=quotation-analysis.md"
18,72,3,iltifat;quotation;rhetorical-question,iltifat=intra-strict:two_verbs; inter:3->2 | quotation=qala speaker=Moses | rhetorical-question=rhetorical-negation (inkārī) markers=a-
18,73,6,convergence;iltifat;kahf-finding;middle-ayah;prohibitive;quotation,convergence=convergence-analysis.md | iltifat=intra-strict:two_verbs; inter:2->1 | kahf-finding=al-kahf-deep-dive.md | middle-ayah=middle-ayah-al-baqarah.md | prohibitive
18,74,7,dual-form;hapax;iltifat;kahf-structural;quotation;quotation-topic;rhetorical-question,"dual-form={nTalaqa | hapax=lemma-hapax:zakiy~ap (lemma=zakiy~ap, root=zkw) | iltifat=intra-strict:two_verbs; inter:1->3 | kahf-structural=Al-Kahf pivot verse | quotation=qala speaker=Moses"
18,75,4,iltifat;phonaesthetic;quotation;rhetorical-question,iltifat=intra-strict:two_verbs; inter:3->2 | phonaesthetic=phonaesthetics.md | quotation=qala speaker=Moses | rhetorical-question=rhetorical-negation (inkārī) markers=a-
18,76,2,iltifat;quotation,iltifat=intra-strict:two_verbs | quotation=qala speaker=Moses
18,77,7,convergence;dual-form;hapax;iltifat;kahf-finding;middle-ayah;quotation,"convergence=convergence-analysis.md | dual-form={nTalaqa | hapax=root-hapax:qDD (lemma=yanqaD~a, root=qDD) | iltifat=intra-strict:two_verbs; inter:2->3 | kahf-finding=al-kahf-deep-dive.md"
18,78,3,iltifat;moses-finding;quotation,iltifat=intra-strict:two_verbs; inter:3->2 | moses-finding=moses-deep-dive.md | quotation=qala speaker=Moses
18,79,2,hapax;iltifat,"hapax=root-hapax:Eyb (lemma=>aEiyba, root=Eyb) | iltifat=intra-strict:two_verbs; inter:2->3"
18,80,4,dual-form;emotion;iltifat;paired-opposite,dual-form=>abawaAn | emotion=emotion-vocabulary.md | iltifat=intra-strict:two_verbs | paired-opposite=paired-opposites-network.md
18,81,5,dual-form;hapax;iltifat;kinship;zakat,"dual-form=yubodila | hapax=lemma-hapax:ruHom (lemma=ruHom, root=rHm) | iltifat=intra-strict:two_verbs | kinship=kinship-vocabulary.md | zakat=zakat-charity.md"
18,82,4,dual-form;iltifat;jinas;kahf-structural,dual-form=gula`m | iltifat=intra-strict:two_verbs | jinas=jinas-wordplay.md | kahf-structural=Al-Kahf pivot verse
18,83,12,asbab-nuzul;convergence;dual-form;dual-form-topic;iltifat;imperative;kahf-finding;kahf-structural;moses-finding;prophet-micro-ring;qul-say-opener;quotation,asbab-nuzul=asbab-nuzul.md | convergence=convergence-analysis.md | dual-form=qaron | dual-form-topic=dual-form-mapping.md | iltifat=intra-strict:two_verbs; inter:3->2
18,84,1,iltifat,iltifat=intra-strict:verb_plus_indep_pron; inter:2->1
